regional_number,daritel,act_id,date,suma,predmet,nadaren
24,Балкан туризъм София,249,10.9.2010,60000,Гориво,ОД на МВР Пловдив
25,"""Петрол"" АД",265,11.10.2010,90000,Гориво,ОД на МВР Пловдив
26,"""Глобъл комерс-1"" ООД",290,24.11.2010,48000,Гориво,ОД на МВР Пловдив
27,"""Инса"" ЕООД",303,07.12.2010,3900.00,Гориво,ОД на МВР Пловдив
28,"""Петрол"" АД",299,07.12.2010,60000,Гориво,ОД на МВР Пловдив
29,"""Петрол"" АД",304,11.12.2010,1480.00,Гориво,ОД на МВР Пловдив
30,"""КОХ ГХ"" ООД",2,04.1.2011,21510,Гориво,РУП Хисар
31,"""Дракон"" ООД",3,04.1.2011,35850,Гориво,РУП Хисар
32,"ПК ""Напредък""",4,04.1.2011,21510,Гориво,РУП Хисар
33,"""Темподем"" ЕООД",5,10.1.2011,1864.20,Гориво,РУП Труд
34,"""Ганчев"" ЕООД",6,11.1.2011,96023,Компютърна техника,РУП Асеновград
35,"""КЦМ 2000"" АД",7,11.1.2011,8964,Гориво,"С-р ""ПИП"" П-в"
36,"""Импулс пропърти груп"" ООД",9,12.1.2011,1434.00,Гориво,Второ РУП
37,"""Хеброс бус"" ООД",10,12.1.2011,1075.50,Гориво,Второ РУП
38,"Стопански   мелиорации   и   борба   с
ерозията",12,14.1.2011,28680,Гориво,РУП Хисар
39,"СД ""Гърков фамили сие""",13,14.1.2011,18000,Гориво,РУП Хисар
40,"""Анди БГ"" ООД",15,14.1.2011,59563,С-ма видеонаб,РУП Труд
41,"""Дружба"" АД",16,14.1.2011,90000,Гориво,Трето РУП
42,"""Хеброс бус"" ООД",17,14.1.2011,86040,Гориво,Трето РУП
43,"""Белла България"" АД",19,18.1.2011,90000,Гориво,Трето РУП
44,"""Дафна таб"" ООД",20,18.1.2011,35850,Гориво,С-р СОД
45,"""Агрия"" АД",21,20.1.2011,30000,рем.авт.,02 РС ПБЗН
46,"""Синергон Петролеум"" ЕООД",22,20.1.2011,17925,Гориво,02 РС ПБЗН
47,"СД ""Хик-91""",23,20.1.2011,36000,Гориво,РС ПБЗН Садово
48,"""3 S СОД"" АД",24,21.1.2011,14340,Гориво,РУП Хисар
49,"""Вила Хисар"" ЕООД",25,21.1.2011,25095,Гориво,РУП Хисар
50,"""Армейски щит"" ООД",26,24.1.2011,8780,Офис техника,ОД на МВР Пловдив
51,"""БКС-08"" ООД",27,24.1.2011,26707,Канцеларски материали,РУП Асеновград
52,"""Рефан България"" ООД",28,24.1.2011,45000,Офис техника,РУП Асеновград
53,"""М Кар"" ООД",31,25.1.2011,7733,Гумени стелки,С-р Престъпления по пътищата
54,"""Рефан България"" ООД",32,27.1.2011,22032,Канцеларски материали,РУП Асеновград
55,"""Бутилираща  компания  Горна  баня""
ООД",33,28.1.2011,26808,Минер.вода,ОД на МВР Пловдив
56,Т.И.Б.,34,31.1.2011,26000,Инвентар,Първо РУП
57,Х.П.В.,36,31.1.2011,29918,"Хладилник и
компютър",Първо РУП
58,"""Инса"" ЕООД",37,31.1.2011,1125.00,Гориво,РУП Раковски
59,"""ВЕК Трейдинг"" ООД",38,02.2.2011,40000,Строителни материали,РУП Стамболийски
60,"""Мастер стийл профайлс"" АД",39,02.2.2011,80000,Строителни материали,РУП Стамболийски
61,"ЕТ ""Мази-Атанас Моллов""",40,02.2.2011,80000,Строителни материали,РУП Стамболийски
62,"Кооперация ""Симид 1000""",41,03.2.2011,21510,Гориво,РУП Хисар
63,"ЕТ ""Стойко Загорчев""",42,03.2.2011,14340,Гориво,РУП Хисар
64,"""Катрин-ко"" ЕООД",43,03.2.2011,30000,Канцеларски материали,РУП Раковски
65,"""КЦМ 2000"" АД",46,10.2.2011,3941.02,"Оборудв.видео
набл.",С-р Пътна полиция
66,"""ДИПС-64"" ЕООД",47,10.2.2011,7200,Гориво,РС ПБЗН Хисар
67,"""ПИК-Пловдив"" ООД",48,10.2.2011,9000,Гориво,РС ПБЗН Хисар
68,"""Рамиус"" ЕООД",50,11.2.2011,25095,Гориво,РУП Хисар
69,"""Апимел"" ЕООД",51,18.2.2011,10000,Канцеларски материали,РУП Раковски
70,"""Арма Смолян"" ЕООД",52,18.2.2011,17925,Гориво,РУП Труд
71,"""Агрокемикъл"" ЕООД",53,18.2.2011,21510,Гориво,Първо РУП
72,Х.Б.Б.,54,18.2.2011,19812,Инвентар,Първо РУП
73,"""Готмар"" ЕООД",55,22.2.2011,1434.00,Гориво,РУП Труд
74,"""Пълдин газ"" ООД",56,22.2.2011,35850,Гориво,РУП Труд
75,К.М.,57,22.2.2011,17925,Гориво,РУП Труд
76,"ЕТ ""Д.В.М.-Диян Георгиев""",58,23.2.2011,11392,Авточасти,С-р СОД
77,"""Хриспетров"" ЕООД",60,23.2.2011,80000,Строителни материали,РУП Стамболийски
78,"""Монди Стамболийски"" ЕАД",61,23.2.2011,1075.50,Гориво,РУП Стамболийски
79,"""Асенова крепост"" АД",63,09.3.2011,20756,Гориво,РУП Асеновград
80,"""БКС-08"" ООД",64,09.3.2011,14068,Канцеларски материали,РУП Асеновград
81,"""МОЛ-Галерия"" АД",66,09.3.2011,57360,Гориво,Шесто РУП
82,"ЕТ ""Георги Серков""",67,09.3.2011,36000,Гориво,Пето РУП
83,Община Кричим,68,09.3.2011,51624,Гориво,РУП Стамболийски
84,"""Вотан груп"" ООД",71,11.3.2011,50000,"Ремонтни
услуги",РУП Карлово
85,"""Ромпетрол България"" АД",73,16.3.2011,56400,Гориво,С-р Престъпления по пътищата
86,"""Белла България"" АД",76,21.3.2011,2512.71,В натура вещи,Трето РУП
87,"""Лидер 96"" ООД",78,21.3.2011,34416,Гориво,РУП Труд
88,"""Джевизов"" ЕООД",81,30.3.2011,17208,Гориво,РУП Хисар
89,"""Джевизов"" ЕООД",82,30.3.2011,22944,Гориво,РУП Хисар
90,"""Джевизов"" ЕООД",83,30.3.2011,17208,Гориво,РУП Хисар
91,"""Терна"" АД",84,30.3.2011,1147.20,Гориво,РУП Асеновград
92,"Кооперация ""Сеяч""",85,06.4.2011,10000,Гориво,РУП Хисар
93,"ППЗК ""Тополовски проход""",86,06.4.2011,6700,Гориво,РУП Асеновград
94,"""Мати"" ЕООД",87,11.4.2011,3000,Гориво,РУП Карлово
95,Ю.Ш.И.,88,11.4.2011,30000,Офис техника,Първо РУП
96,"""Синхрон"" ООД",90,11.4.2011,10000,Гориво,РУП Труд
97,"""Ахира"" АД",91,11.4.2011,5000,Гориво,РУП Труд
98,"""М Кар"" ООД",92,11.4.2011,12528,"Лагер за
бендикс",С-р Пътна полиция
99,"""Мавър инвест"" ООД",96,20.4.2011,15000,Гориво,РУП Хисар
100,Държавно горско стопанство,100,28.4.2011,7500,Гориво,РУП Хисар
101,Държавно горско стопанство,101,28.4.2011,7500,Гориво,РУП Хисар
102,Държавно горско стопанство,102,28.4.2011,15000,Гориво,РУП Хисар
103,Държавно горско стопанство,103,28.4.2011,5000,Гориво,РУП Хисар
104,"""Галтон"" ООД",104,28.4.2011,20200,Авточасти,РУП Асеновград
105,"""Автоелектрик България"" ООД",107,03.5.2011,5000,Гориво,РУП Карлово
106,"""Ойл плюс"" ООД",108,12.5.2011,80000,"Компютри и
алуминиева преграда",Първо РУП
107,ЕВН Електроразпределение,110,19.5.2011,29201,Авточасти,РУП Асеновград
108,"""Ганчев"" ЕООД",111,19.5.2011,15624,Канцеларски материали,ОД на МВР Пловдив
109,Г.И.И.,112,19.5.2011,44000,Компютърна техника,РУП Асеновград
110,"""Спринт И.Д."" ЕООД",114,01.6.2011,26500,Авточасти,С-р СОД
111,"""Теразини"" ЕООД",115,01.6.2011,1025.12,"Части за
репитер",С-р СОД
112,"""Прима - 8911"" ЕООД",116,01.6.2011,17925,Гориво,Група ОМП
113,"""ПИК-Пловдив"" ООД",125,09.6.2011,6000,Гориво,РУП Хисар
114,"""ОББ"" АД",126,10.6.2011,11700,Компютърна техника,РУП Асеновград
115,"""3 S СОД"" АД",127,15.6.2011,6000,Гориво,РУП Асеновград
116,"""Сокотаб"" ЕООД",130,21.6.2011,1500.00,Парични средства,РУП Труд
117,"""Анистън"" ЕООД",131,23.6.2011,12000,Гориво,Трето РУП
1,"""Агролес"" ЕООД",259,03.1.2011,25000,Гориво,РУП-гр.Кубрат
2,"""Дегойл"" ООД",261,03.1.2011,21060,Гориво,РУП-гр.Кубрат
3,"""Мелоплам"" ООД",1225,07.1.2011,35750,Гориво,РУП-гр.Кубрат
4,"ЕТ ""Агро гло""",1227,07.1.2011,22900,Компютърна техника,РУП-гр.Кубрат
5,"""Мелиса текстил"" ООД",1563,10.1.2011,10000,Гориво,РУП-гр.Исперих
6,"""Раломекс"" АД",1545,10.1.2011,29120,Гориво,УП-гр.Завет
7,"""ССОЗ Клас"" ООД",1549,10.1.2011,17175,Гориво,УП-гр.Завет
8,"ЕТ ""Костадин Станев""",1555,10.1.2011,10605,Гориво,УП-гр.Завет
9,"""Стинг"" АД",2429,13.1.2011,26000,Компютърна техника,РУП-гр.Разград
10,"""Хе-Же-А"" ООД",2783,17.1.2011,5000,Гориво,РУП-гр.Кубрат
11,"""Стеми"" ЕООД",4003,21.1.2011,12000,Парични средства,"ТЗ ""БОП"""
12,Ник транс 90,4005,21.1.2011,12000,Парични средства,"ТЗ ""БОП"""
13,"""Стинг"" АД",4747,26.1.2011,29000,Компютърна техника,РУП-гр.Разград
14,Н.С.,5251,28.1.2011,1000.00,Парични средства,Досъдебно производство
15,Р.И.,5855,01.2.2011,1000.00,Парични средства,Досъдебно производство
16,Р.И.,6221,03.2.2011,50000,Офис техника,ОД МВР-гр.Разград
17,"""Мелиса текстил"" ООД",6591,07.2.2011,10000,Гориво,РУП-гр.Исперих
18,"""Агрострой комерс"" ООД",7911,14.2.2011,20000,Гориво,РУП-гр.Лозница
19,"""Тракция"" АД",8957,18.2.2011,4000.00,Парични средства,ОД МВР-гр.Разград
20,КПУ-кооп-партнерс,9399,21.2.2011,40000,Гориво,РУП-гр.Лозница
21,"""Мелиса текстил"" ООД",11453,07.3.2011,10000,Гориво,РУП-гр.Исперих
22,"""Стинг"" АД",16299,01.4.2011,18000,Компютърна техника,РУП-гр.Разград
23,"""Мелиса текстил"" ООД",16645,04.4.2011,10000,Гориво,РУП-гр.Исперих
24,"""Мелиса текстил"" ООД",21981,09.5.2011,10000,Гориво,РУП-гр.Исперих
25,"""Борисов и син"" ООД",25279,28.5.2011,25000,Гориво,РУП-гр.Исперих
26,"""Мелиса текстил"" ООД",28025,10.6.2011,10000,Гориво,РУП-гр.Исперих
1,"ЗАД "" ING-клон София""",Дог.-1,04.1.2011,2007.65,Строителни материали,"Сектор ""ПКП"" при ОДМВР - Русе"
2,"""Приста ойл Холдинг"" ЕАД",Дог.-9,25.1.2011,90000,"Материали за
въоръжението","""ПОММББ"" при ОДМВР - Русе"
3,"""Приста ойл Холдинг"" ЕАД",Дог.-11,25.1.2011,1280.00,"Специално
облекло","""ПОММББ"" при ОДМВР - Русе"
4,"""Ен Ер Джи Софт"" ЕООД",Дог.-13,31.1.2011,24000,Компютърна техника,"Сектор ""ПП"" при ОДМВР - Русе"
5,"""Русегаз"" ЕАД",Дог.-15,31.1.2011,9000,Компютърна техника,"Сектор ""ПП"" при ОДМВР - Русе"
6,"""Шато Дунабия"" АД",Дог.-43,24.3.2011,2304.00,"Специално
облекло","""ППСО"" при ОДМВР - Русе"
7,"""Приста ойл Холдинг"" ЕАД",Дог.-45,28.3.2011,25400,Моторно масло,ОДМВР - Русе
8,"""Каолин"" АД",Дог.-71,12.4.2011,1565.63,Строителни материали,"РУ""Полиция""-02 при ОДМВР - Русе"
9,"""Зона СОД 2002"" ЕООД",Дог.-73,12.4.2011,65900,Климатична техника,"Медицинска служба при ОДМВР -
Русе"
10,"""Захар Био"" АД",Дог.-97,03.6.2011,54000,Климатична техника,"РУ""Полиция""-02 при ОДМВР - Русе"
11,"""БМВ"" ЕООД",Дог.-101,13.6.2011,4305.00,Климатична техника,ОДМВР - Русе
Областна Дирекция на МВР - Силистра - дарен,,,,,,
1,"""Прокомпютърс"" ЕООД",353,07.1.2010,13528,"Консумативи за
хардуер",ОД МВР Силистра
2,Община Дулово,1031,19.1.2010,11950,Гориво,РУ на МВР-Дулово
3,"""Грен-Ди-транс"" ООД",2168,03.2.2010,55790,Гориво,РУ на МВР Тутракан
4,"ЗК ""Напредък""",4345,05.3.2010,21449,Гориво,РУ на МВР-Силистра
5,Община Тутракан,8131,12.5.2010,6840,Гориво,РУ на МВР Тутракан
6,Е.В.Е.,12622,09.6.2010,21250,Гориво,РУ на МВР-Силистра
7,"""Пътнически превози-СС"" ЕООД",23029,01.12.2010,35740,Гориво,РУ на МВР-Силистра
8,"ЕТ ""Шори-Тодор Начев""",25302,29.12.2010,28042,Гориво,РУ на МВР-Силистра
9,ТД на НАП-Варна,1889,30.12.2010,10584,дърва за огрев,РУ на МВР-Дулово
10,"ЕТ ""Шори-Тодор Начев""",754,07.1.2011,28402,Гориво,РУ на МВР-Силистра
11,"""Зов-92-комерс"" ЕООД",747,12.1.2011,72067,Гориво,РУ на МВР Тутракан
12,"""Едрина"" ООД",742,12.1.2011,50315,Гориво,РУ на МВР Тутракан
13,"""Моника 92 "" ООД",743,12.1.2011,36094,Гориво,РУ на МВР Тутракан
14,"ЕТ ""Кипарис-Иван Констанцалиев""",744,12.1.2011,43025,Гориво,РУ на МВР Тутракан
15,"""Булдекс"" ООД",745,12.1.2011,72360,Гориво,РУ на МВР Тутракан
16,"ЗК ""Плодородие 93""",2165,01.2.2011,18004,Гориво,РУ на МВР-Силистра
17,"ЗК ""Нива-93""",2167,01.2.2011,36000,Гориво,РУ на МВР-Силистра
18,"""ЗММ Стомана"" АД",2380,03.2.2011,14140,Гориво,РУ на МВР-Силистра
19,Община Главиница,2856,09.2.2011,82847,Гориво,РУ на МВР Тутракан
20,"""Бревис"" ООД",2855,09.2.2011,43620,Гориво,РУ на МВР Тутракан
21,Община Главиница,2856,09.2.2011,21872,Гориво,РУП Тутракан
22,"""Мебели Димов"" ООД",3775,21.2.2011,4820,Гориво,РУ на МВР-Силистра
23,"""Транс Ойл Груп"" ООД",222089,31.3.2011,21302,Гориво,РУ на МВР-Силистра
24,Община Алфатар,222092,31.3.2011,41375,Гориво,РУ на МВР-Силистра
25,"""Крас-ком"" ЕООД",222098,31.3.2011,21300,Гориво,РУ на МВР-Силистра
1,"""Мелница Сливен 2003"" ООД",25,17.1.2011,69600,Гориво,РУП-Сливен
2,"""Гривас"" ООД",27,11.2.2011,60740,Гориво,РУП-Котел
3,"ЕТ ""Стрелец-Йовчо Тихин""",28,14.2.2011,10000,Гориво,РУП-Сливен
4,"""Деметра-С"" ООД",29,14.2.2011,37280,Гориво,РУП-Сливен
5,"""Тирбул"" ЕАД",30,14.2.2011,6264,Гориво,РУП-Сливен
6,"""Гривас"" ООД",31,15.2.2011,96163,Гориво,РУП-Твърдица
7,"""Екофарм 2005"" ЕООД",33,21.2.2011,64800,Гориво,РУП-Сливен
8,"""Екофарм 2005"" ЕООД",35,28.2.2011,12050,Гориво,РСПБЗН-Котел
9,Окръжна прокуратура-Сливен,41,21.3.2011,3990.17,Офис обзавеждане,ОД МВР-Сливен
10,Окръжна прокуратура-Сливен,42,21.3.2011,5119.58,Офис обзавеждане,ОД МВР-Сливен
11,"""Янико менинджмънт"" ООД",43,22.3.2011,17999,Гориво,ОД МВР-Сливен
12,"""Джени""ООД-Сливен",69,30.3.2011,89913,Гориво,"С""ПИП"" ОД МВР-Сливен"
13,"""М-Солар""ООД-Бургас",70,30.3.2011,18625,Гориво,РУП-Котел
14,"АС""Скорпио""ООД-София",71,30.3.2011,11100,Гориво,РУП-Котел
15,"ЕТ""Диана МИ-Минчо Иванов""Кортен",92,11.4.2011,89135,Гориво,СПС-СПУ-Бургас
16,ДГС-Котел,135,27.4.2011,57840,Гориво,РУП-Котел
17,"""Телетек""ЕООД-София",143,09.5.2011,1299.10,Компютърна техника,ОД МВР-Сливен
18,"""Пагода"" ЕООД Нова Загора",167,11.5.2011,1288.88,Гориво,РУП Нова Загора
19,"""Айгруп""ЕООД-Новачево",162,19.5.2011,19200,Гориво,РУП-Сливен
20,"ЗП ""Димитър Петков Русев""",163,25.5.2011,14460,Гориво,РУП-Твърдица
21,Г.К.Г.,164,25.5.2011,25200,Компютърна техника,РУП-Сливен
22,Л.А.А.,189,20.6.2011,15000,"моторна
косачка",РУП-Сливен
1,Виктория тур,ВЯ-4475,10.7.2002,29995,Гориво,РУП Чепеларе
2,Хотел Финландия,ВЯ-5503,21.8.2002,30003,Гориво,РУП Чепеларе
3,"""Пампорово"" АД",ВЯ-1235,12.2.2004,1887.67,Гориво,РУП Чепеларе
4,Алпине майредерер,ВЯ-356,10.11.2006,23040,Гориво,РУ ПБС Девин
5,"""Секвоя"" АД",ВЯ-315,06.2.2008,11800,Гориво,РУ ПБС Чепеларе
6,"""Шарлопов хотел"" ЕАД",ВЯ-848,16.4.2008,32692,Гориво,РУП Чепеларе
7,Алфа СОТ секюрити,ВЯ-10925,11.9.2009,70110,Гориво,РУП Чепеларе
8,"""Рарс-4"" АД",ВЯ-12535,15.10.2009,1401.89,Гориво,РУП Чепеларе
9,"""Петро-Г"" ООД",ВЯ-4982,12.4.2010,29022,Гориво,РУП Чепеларе
10,"ДЗЗД ""Копаса-понсстрой ВОД""",ВЯ-5789,29.4.2010,2421.71,Резервни части,ОД МВР Смолян
11,ОБЩИНА НЕДЕЛИНО,ВЯ-6421,14.5.2010,1503.84,Гориво,ПУ Неделино
12,НЕК ЕАД,ВЯ-11580,27.8.2010,2596.75,Гориво,РУП Девин
13,ОБЩИНА МАДАН,ВЯ-227,01.1.2011,52063,Гориво,РУП Мадан
14,"""Медина"" ООД",ВЯ-225,05.1.2011,23907,Гориво,РУП Мадан
15,ОБЩИНА РУДОЗЕМ,ВЯ-226,05.1.2011,1221.30,Гориво,РУП Мадан
16,"""Нитекс 96"" АД",ВЯ-1156,24.1.2011,1072.02,Гориво,РУП Девин
17,СЕВДАЛИН ПРОФИРОВ ЕТ,ВЯ-1549,28.1.2011,23300,Гориво,РУП Златоград
18,"""Унифарм"" АД",ВЯ-1716,01.2.2011,1000.00,Парични средства,ОД МВР Смолян
19,ДГС ДЕВИН,ВЯ-1793,01.2.2011,73284,Гориво,РУП Девин
20,"""Спа хотел Персенк"" ООД",ВЯ-2056,07.2.2011,65880,Гориво,РУП Девин
21,"ДЗЗД ""Парти фууд""",ВЯ-2298,10.2.2011,75000,Офис техника,ОД МВР Смолян
22,"""Микони"" ООД",ВЯ-2422,14.2.2011,4800.00,табели,КАТ Смолян
23,ОБЩИНА БОРИНО,ВЯ-2492,15.2.2011,61050,Гориво,РУП Девин
24,"""Ве-Си строй"" ООД",ВЯ-3122,01.3.2011,66439,Гориво,РУП Мадан
25,"ЕТ ""Сениха Койнарова""",ВЯ-3123,01.3.2011,89093,Гориво,РУП Мадан
26,"""Мадан-лес"" ЕООД",ВЯ-3299,08.3.2011,21604,Гориво,РУП Мадан
27,ДГС ГР.ДОСПАТ,ВЯ-3639,15.3.2011,38440,Гориво,ПУ ДОСПАТ
28,ОБЩИНА СМОЛЯН,ВЯ-3521,17.3.2011,9501.92,Гориво,РУП Смолян
29,"""Механичен завод"" АД",ВЯ-3775,17.3.2011,1295.00,Гориво,РУП Мадан
30,"""Екобулгарстрой"" ООД",ВЯ-4505,31.3.2011,63221,Строителни материали,ОД МВР Смолян
31,"""Ай Пи Зет"" ЕООД",ВЯ-5522,21.4.2011,68287,Гориво,РУП Мадан
32,"НСНЦ ИНИЦИАТИВА РОДОПА
ПЛАНИНА ХХІ ВЕК",ВЯ-5557,21.4.2011,1353.00,татами,РУП Смолян
33,ДГС С.ХВОЙНА,ВЯ-5626,27.4.2011,62400,Авточасти,ОД МВР Смолян
34,SG Group,ВЯ-7059,27.5.2011,42951,техника СОД,СОД Смолян
35,"""Готмар"" ЕООД",ВЯ-7876,13.6.2011,1500.00,Резервни части,ОД МВР Смолян
1,АК Магнит,10,14.2.2007,19500,Гориво,РУП Годеч
2,Елаците-мед,48,23.4.2007,4838.27,Гориво,РУП Етрополе
3,Хотел Самоков,39,04.7.2007,1053.04,Гориво,РУП Самоков
4,Община Самоков,р 2239,30.8.2007,2944.41,Гориво,РУП Самоков
5,Баумит,64,11.9.2007,99141,Гориво,РУП Елин Пелин
6,Община Ботевград,р 266,29.10.2009,2388.09,Гориво,РУП Ботевград
7,Газтрейд,13,25.2.2010,23250,Гориво,РУП Пирдоп
8,Кентрони,38,19.4.2010,60000,Гориво,РУП Сливница
9,Община  Годеч,р 319,30.4.2010,23002,Гориво,РУП Годеч
10,Биовет,46,04.5.2010,69672,Гориво,РУП Ботевград
11,Евроледър,67,06.6.2010,28462,Гориво,ПБЗН Етрополе
12,Вестранс,73,18.6.2010,34234,Гориво,РУП  Ихтиман
13,Елаците-мед,82,12.7.2010,28198,Гориво,ПБЗН Етрополе
14,Берета трейдинг,87,22.7.2010,4138.24,Гориво,РУП Елин Пелин
15,Лукойл,92,03.8.2010,2298.21,Гориво,РУП Етрополе
16,Лукойл,91,03.8.2010,34383,Гориво,РУП Правец
17,Елаците-мед,117,29.9.2010,1055.60,Гориво,РУП Пирдоп
18,Челопеч майнинг,126,11.11.2010,69850,Гориво,РУП Пирдоп
19,Н.В.,133,19.11.2010,23700,Гориво,РУП Ботевград
20,Геотехмин,137,25.11.2010,1618.38,Гориво,РУП Пирдоп
21,Молтен-Христов,144,06.12.2010,41679,Гориво,РУП Ботевград
22,Лекс груп,156,14.12.2010,1809.40,Гориво,РУП Ботевград
23,"""БМВ"" ЕООД",162,15.12.2010,2809.15,видеонаблюд.,ОДМВР София
24,"ЕТ ""Иван Терзийски""",1,05.1.2011,34000,Офис техника,ОДМВР-КАТ
25,Община Челопеч,6,19.1.2011,1556.95,Гориво,РУП Пирдоп
26,Община Долна баня,269,26.1.2011,64889,Гориво,РУП Костенец
27,Алмагест,9,28.1.2011,4200.00,Гориво,РУП Пирдоп
28,Мегаинвест,10,01.2.2011,50000,Гориво,РУП Годеч
29,Аурубис България,12,02.2.2011,52478,Офис техника,ОДМВР София
30,"Фондация ""Лукойл""",15,03.2.2011,3704.00,Компютърна техника,ОДМВР София
31,Аурубис България,3017,10.2.2011,1420.20,Гориво,РУП  Пирдоп
32,Мултипринт,24,14.2.2011,1000.00,Авточасти,РУП Костинброд
33,ВЕЦ Своге,19,14.2.2011,2400.00,Гориво,РУП Своге
34,Мина Бели брег,34,16.2.2011,36000,Гориво,РУП Сливница
35,"""Огняново"" АД",40,18.2.2011,1800.00,Гориво,РУП Сливница
36,Коби,48,18.2.2011,15000,Канцеларски материали,РУП Костинброд
37,Вито 03,123,18.2.2011,30000,Резервни части,РУП Костинброд
38,"ЕТ ""Алба-С.Симеонов""",51,18.2.2011,60000,Строителни материали,РУП Костинброд
39,Община Копривщица,р 380,22.2.2011,39296,Гориво,РУП Пирдоп
40,Община Костенец,р-5,24.2.2011,76000,Гориво,РУП Костенец
41,Елаците-мед,56,08.3.2011,25000,Консумативи,ОДМВР биологична лаборатория
42,Г4С Секюрити сървисиз,60,10.3.2011,87180,Гориво,РУП Ботевград
43,Биовет,62,15.3.2011,1084.44,Гориво,РУП Ботевград
44,Рум ойл,68,19.3.2011,94723,Гориво,РУП Ботевград
45,Диамонт,69,19.3.2011,1790.00,видеонаблюд.,РУП Костенец
46,Община Чавдар,74,24.3.2011,44997,Гориво,РУП Пирдоп
47,Ка Ел Ем трейдинг,77,30.3.2011,35250,Гориво,РУП Сливница
48,Графобал,78,30.3.2011,90000,Гориво,РУП Своге
49,Геотехмин,92,05.4.2011,3600.00,Гориво,РУП Своге
50,Лукойл,97,21.4.2011,60869,Гориво,РУП Правец
51,Струмка метал 2001,115,09.5.2011,1000.00,Парични средства,ОДМВР София
52,"Метро Кеш енд кери"" България",129,11.5.2011,2400.00,Парични средства,ОДМВР София
1,ОМВ,826,12.11.2007,47600,Гориво,Пътен контрол
2,Енерготранс - 2002,171,05.3.2010,28974,Гориво,РУП Гълъбово
3,"ПФК ""Берое"" АД",239,01.4.2010,4044.98,Гориво,РУП Ст.Загора
4,"""Торо"" ЕООД",430,11.6.2010,1248.00,Гориво,РУП Чирпан
5,"ПФК ""Берое"" АД",654,02.11.2010,1050.00,Парични средства,ОД на  МВР Ст. Загора
6,"ПФК ""Берое"" АД",658,03.11.2010,1050.00,Парични средства,ОД на  МВР Ст. Загора
7,"""Алстром България"" ЕООД",739,03.12.2010,24000,Компютърна техника,РУП Гълъбово
11,Перфект медика,744,06.12.2010,59750,Гориво,Първо РУП  Ст. Загора
10,Р.И.К.,745,06.12.2010,50000,Гориво,РУ ТП
8,ИТА сервиз,746,06.12.2010,20970,Гориво,РУ ТП
9,Кей Би груп,747,06.12.2010,43128,Гориво,РУ ТП
12,"ЗКИ ""Волта""",786,28.12.2010,64500,Гориво,РУП Гълъбово
13,"""Ай Би-транс"" ЕООД",3,04.1.2011,13920,Офис техника,ОД на  МВР Ст. Загора
14,"ПСК ""Ес Би ЕС""",6,05.1.2011,11442,Гориво,"с-р ""ПП"" при ОД МВР"
15,Енергоремонт,7,05.1.2011,86035,Гориво,РУП Гълъбово
16,В.К.С.,11,11.1.2011,2500,Компютърна техника,"С-р ""СОД"" при ОД МВР"
17,"""Габровница"" АД",13,13.1.2011,90850,Гориво,"С-р ""БОП"" при ОД МВР"
19,"""Инсайт 5"" ООД",16,13.1.2011,25901,Компютърна техника,РУП Чирпан
18,"""Брикел"" ЕАД",17,13.1.2011,91095,Гориво,РУП Гълъбово
20,Еи и ЕС-ЗС Марица изток,18,17.1.2011,4310.00,Климатична техника,РУП Гълъбово
22,"""Казанлък"" АД",1970,18.1.2011,4400,Гориво,РУП Казанлък
21,"""Мебел стил"" ООД",1997,18.1.2011,11000,Гориво,РУП Казанлък
23,"""Брикел"" ЕАД",749,19.1.2011,15890,Офис техника,РУП Раднево
27,ВИК ЕООД,27,20.1.2011,90000,Компютърна техника,Второ РУП Ст. Загора
25,"""Бакери 2006"" ЕООД",28,20.1.2011,53806,Офис техника,Второ РУП Ст. Загора
26,"СНЦ ""Баскетболен клуб Берое",31,20.1.2011,3000,Парични средства,Първо РУП Ст. Загора
28,"""Брикел"" ЕАД",32,20.1.2011,1835.70,Гориво,РУП Гълъбово
29,"""Брикел"" ЕАД",33,20.1.2011,1756.35,Гориво,"С-р ""ПИП"" при ОД МВР"
24,"""СИ банк"" АД",4597,20.1.2011,12617.52,Компютърна техника,ОД на  МВР Ст. Загора
30,"""Мини Марица изток"" ЕАД",35,24.1.2011,5384.44,Гориво,РУП Гълъбово
31,"""Мини Марица изток"" ЕАД",36,24.1.2011,4695.80,Гориво,ОД на  МВР Ст. Загора
32,"""Индустриал партс"" ООД",2801,24.1.2011,29900,Гориво,РУП Казанлък
33,"""СМЦ"" ООД",39,25.1.2011,53400,Офис техника,Второ РУП Ст. Загора
35,"""АКМ-2002"" ООД",1853,26.1.2011,18800,Гориво,"гр.""ТП"" Първо РУП Ст. Загора"
34,"""Катекс"" АД",3058,26.1.2011,49972,Канцеларски материали,РУП Казанлък
36,"""Алстром България"" ЕООД",738,27.1.2011,23000,Компютърна техника,РУП Раднево
37,"""Табак груп - Деливери"" АД",1995,27.1.2011,20300,Канцеларски материали,РУП Казанлък
38,"""Пи Ес Ай"" АД",51,28.1.2011,66000,Компютърна техника,"с-р ""ПП"" при ОД МВР"
39,"""Трейс транс"" ЕООД",52,28.1.2011,66000,Компютърна техника,"с-р ""ПП"" при ОД МВР"
40,Зап. На Мин. на отбраната,ОХ 69,28.1.2011,10612,оръжие,ОД на  МВР Ст. Загора
