regional_number,daritel,act_id,date,suma,predmet,nadaren
53,ВС Метал къмпани,Д-143,21.6.2011,7260,Гориво,С-Р СОД
54,"""Банка ДСК"" АД",Д-1983,24.6.2011,40000,Климатична техника,РУП Тетевен
55,Н.М.Ц.,Д-145,28.6.2011,10000,"Необорудвано
купе за автомобил",С-Р ПП КАТ Ловеч
1,ОБЩИНА ГЕОРГИ ДАМЯНОВО,1394,17.1.2011,15002,Гориво,РУП Монтана
2,ОБЩИНА ГЕОРГИ ДАМЯНОВО,2514,22.1.2011,15361,Гориво,РУП Монтана
3,"""Агро сантия"" ЕООД",2855,01.2.2011,11950,Гориво,РУП Монтана
4,"""Студио Джи"" ООД",3380,08.2.2011,40000,Гориво,РУП Берковица
5,ОБЩИНА ГЕОРГИ ДАМЯНОВО,3640,11.2.2011,15003,Гориво,РУП Монтана
6,"""Лидл България"" ЕООД енд Ко",3642,11.2.2011,50000,Канцеларски материали,РУП Монтана
7,ОБЩИНА ГЕОРГИ ДАМЯНОВО,4535,23.2.2011,14993,Гориво,РУП Монтана
8,"""Монбат"" АД",4807,25.2.2011,79000,Офис техника,РУП Монтана
9,"""Агро сантия"" ЕООД",5919,10.3.2011,12500,Гориво,РУП Монтана
10,С.Д.З.,6429,14.3.2011,27900,Офис техника,РУП Монтана
11,Л.Х.К.,6430,14.3.2011,14000,Инвентар,РУП Монтана
12,"ЕТ ""Мото макс-Аврам Василев""",6431,14.3.2011,20999,батерии,РУП Монтана
13,"""И енд Д дизайн"" ЕООД",6599,16.3.2011,6000,Офис техника,КИАД ОДМВР
14,ОБЩИНА ГЕОРГИ ДАМЯНОВО,6942,18.3.2011,15002,Гориво,РУП Монтана
15,ОБЩИНА ГЕОРГИ ДАМЯНОВО,7513,23.3.2011,15000,Гориво,РУП Монтана
16,П.И.П.,7514,23.3.2011,15060,Гориво,РУП Монтана
17,"""Емко"" ЕООД",8057,29.3.2011,8040,Инвентар,ОДМВР
18,ОБЩИНА ГЕОРГИ ДАМЯНОВО,9568,14.4.2011,14985,Гориво,РУП Монтана
19,Р.Й.С.,11296,04.5.2011,10000,Гориво,РУП Монтана
20,"""Гала инвест холдинг"" АД",11131,05.5.2011,30000,Парични средства,ОДМВР
