
2,"""Дженерали застраховане""",20544,08.10.2010,"3 000,00","Офис
оборудване, техника и консумативи; средства за ремонт на криминалистич еска техника.",ОЕКД-СДВР
3,"""Б.Г.Л."" ЕООД",22112,28.10.2010,0,"Ремонт на
помещения",04 РУП-СДВР
4,"""Корпоративна търговска банка"" АД",24940,03.12.2010,"15,000","Компютърна
техника- компютри с монитори",03 РУП-СДВР
5,"""Принцес Шейх Ахалед"" ООД",25054,06.12.2010,"1 959,00","Преносима
компютърна техника и LSD телевизор",03 РУП-СДВР
6,"Министерство на икономиката,
енергетиката и туризма",Заповед № РД 16-15,05.1.2011,"67,550","Маса,
контейнер, количка за компютър и бюро",СДВР
7,"""Бултонер"" ЕООД",1296,20.1.2011,"35,000","Ремонт на
служебна копирна машина",04 РУП-СДВР
8,"""Интерамерикън Блъгария"" ЗЕАД",2914,08.2.2011,"2 000,00","Техника и
консумативи.",ОЕКД-СДВР
9,"""Галиция"" ООД",3756,18.2.2011,"34 560,00",Автомобил,"Отдел ""Противо-        действие на
криминалната престъпрестъпност-
СДВР"
10,"""Мобилтел"" ЕАД",3860,21.2.2011,"2 000,00",Гориво,03 РУП-СДВР



11,"""Лидл България"" ЕООД енд Ко",4202,23.2.2011,"57,000","Компютри с
монитори; принтери и факс устройства",ООП-СДВР
12,"""К и К електроникс"" ЕАД",4816,02.3.2011,"60,000","Климатична
инсталация",04 РУП-СДВР
13,"ЗД ""Булинс"" АД",5942,16.3.2011,"5 000,00","Офис
оборудване, техника и консумативи.",ОЕКД-СДВР
14,П.Т.Н.,7348,30.3.2011,"22,800","Компютърна
конфигурация и принтери",03 РУП-СДВР
15,"""Гвардия   -   решение   за   сигурност""
ЕООД",7350,30.3.2011,"32,800","Мултифункцио
ни устройства",04 РУП-СДВР
16,"""Аксон България"" ООД",7542,31.3.2011,"2 404,08",Хартия,04 РУП-СДВР
17,"""Оварас Вендинг"" ЕООД",7888,01.4.2011,"5 000,00","Компютърни
конфигурации и многофункцио нални устройства",04 РУП-СДВР
18,"""Дженерали застраховане"" АД",9130,18.4.2011,"3 000,00","Офис
оборудване, техника и консумативи",ОЕКД-СДВР
19,"""Вечна - Р"" ЕООД",11902,27.5.2011,"36,600","Тенис маса и
халки",ОЕКД-СДВР



20,"""Ай Ти Софт"" ООД",12230,31.5.2011,"6 000,00","Офис
оборудване, техника и консумативи.",ОЕКД-СДВР
21,"""Слатина-Булгарплод"" ЕАД",13544,14.6.2011,"2 500,00",Бензин,01 РУП-СДВР
22,"""Примекс"" ЕООД",14148,21.6.2011,"1 360,00","автомобилни
гуми",04 РУП-СДВР
23,К.Б.Ш.,14518,24.6.2011,"34,900",Компютър,04 РУП-СДВР

1,"""Стопанска инвестиционна банка"" АД",1163,06.1.2000,"1 714,50",бензин,ОД МВР Благоевград
2,"""Уно-58"" ЕООД",105,09.9.2005,"11,901",бензин,РУ ПБС Гоце Делчев
3,"""Еврокемрес 95 "" ЕООД",93,02.7.2009,"64,072",бензин,РУ ПБС Сандански
4,Общ.администрация Якоруда,25,24.2.2010,"64,400",бензин,ПУ Якоруда към РУП Разлог
5,"""НСВ-Комерс 2001"" ЕООД",66,15.4.2010,"34,900",бензин,РУП Сандански
6,"""Балканстрой"" АД",157,06.12.2010,"1 059,00",бензин,РУП - Банско
7,"СБЛАО ""Св.Мина"" ЕООД",159,15.12.2010,"10,000",копирна маш.,"Сектор ""Пътна полиция"""
8,Общ.администрация Банско,162,16.12.2010,"3 892,00",диз.гориво,РУП Банско
9,"""Ем Джи Ес Файненшъл"" ЕООД",163,17.12.2010,"1 181,50",бензин,РУП - Банско
10,"""Ай Ти Би"" ЕООД",164,17.12.2010,"29,000",канц.м-ли,РУ ПБС Сандански
11,"""Карлсберг България"" АД",137,23.12.2010,"3 312,79",бензин,"01 и 02 РУП, отдел ""Крим.полиция"""
12,"""БЕТА-Д"" Балгоевград",166,29.12.2010,"1 450,00",комп.конфиг.,ОД МВР Благоевград
13,"""Кристъл Банско Мениджмънт"" ЕООД",167,30.12.2010,"42,000",канц.м-ли,РУП - Банско
14,Българска федерация по биатлон,168,30.12.2010,"2 007,00",бензин,РУП - Банско
15,"""Хариеса Фешън"" АД",169,30.12.2010,"69,800",бензин,РУП Сандански
16,"ДП""Български спортен тотализатор""",1,03.1.2011,"1 600,00",ук.дипляни,ОД МВР Благоевград
17,"""Благоевград - БТ"" АД",2,10.1.2011,"1 250,00",бензин,ОД МВР Благоевград
18,"""Карлсберг България"" АД",4,14.1.2011,"98,000",бензин,"01 и 02 РУП, отдел ""Крим.полиция"""
19,"""Сигма Ски"" ЕООД",6,18.1.2011,"35,300",бензин,РУП - Банско



20,"""Юлен"" АД",10,28.1.2011,"73,500",бензин,РУП - Банско
21,"ЕТ ""Фламенго"" - Сандански",17789,31.1.2011,"9,162",канц.м-ли,РУП - Сандански
22,"ЕТ ""Джовани-ИМ"" - Белица",17,02.2.2011,"6,900",бензин,ПУ Белица към РУП Разлог
23,"ЕТ ""Владимир Карапетров - ЛЕМА"" -
Якоруда",20,11.2.2011,"10,350",бензин,ПУ Якоруда към РУП Разлог
24,"""Юлен АД"" - Банско",22,21.2.2011,"1 049,99",канц.м-ли,РУП Банско
25,Районен съд Разлог,41,01.4.2011,"24,000",копирна маш.,РУП Разлог
26,Общ.администрация Сатовча,52,27.4.2011,"1 200,00",бензин,ПУ Сатовча към РУП Гоце Делчев
27,"""Алт Ко"" АД",53,29.4.2011,"15,000",тонер,ОД МВР Благоевград
28,"""Вудутек"" ООД",64,26.5.2011,"20,000",комп.конфиг.,ОД МВР Благоевград - КИАД
29,"Сдружение    с    нестопанска    цел    за
осъществяване на дейност в частна полза ""Американски университет България""",67,31.5.2011,"32,500",канц.оборудв.,01 РУП Благоевград

1,"""Автотрафик"" АД",101,03.1.2011,"71,471",бензин,І -во РУ
2,"""Трансвагон"" АД",132,04.1.2011,"2 423,00",бензин,V-то РУ
3,"""Норматив"" ООД",133,04.1.2011,"1 440,00",бензин,V-то РУ
4,"""РС Трейд"" ЕООД",134,04.1.2011,"2 880,00",бензин,V-то РУ
5,"ЕТ ""Росен Калчев"" - Бургас",146,04.1.2011,"27,000",бензин,СОД
6,"""Барекс"" ООД",149,04.1.2011,"27,000",бензин,СОД
7,"""МЕССУ"" ЕООД",246,04.1.2011,"1 380,00",бензин,РУ Сунгурларе
8,Фуражен завод Сунгурларе ООД,247,04.1.2011,"82,800",бензин,РУ Сунгурларе
9,"""Вулкан 2000"" ЕООД",248,04.1.2011,"69,000",бензин,РУ Сунгурларе
10,"""Винекс-Славянци"" АД",250,04.1.2011,"57,000",бензин,РУ Сунгурларе
11,"""Дъбрава"" АД",251,04.1.2011,"43,600",бензин,РУ Сунгурларе
12,"""Вулкан 2000"" ЕООД",365,05.1.2011,"72,450",бензин,РУ РУЕН
13,"""Сокол"" ООД",367,05.1.2011,"72,450",бензин,РУ РУЕН
14,"""Амбасадор тур"" ЕАД",368,05.1.2011,"1 166,40",бензин,V-то РУ
15,К.Д.Д.,370,05.1.2011,"72,000",бензин,V-то РУ
16,"""Керамика Бургас"" АД",777,10.1.2011,"1 020,00",бензин,Сектор ПП



17,"""ВЕНИД"" ООД",1063,12.1.2011,"7 200,00",бензин,РУ Несебър
18,"""Трейс"" ЕАД",1326,13.1.2011,"30,000",бензин,Сектор ПП
19,В.Г.М.,1516,17.1.2011,"15,000",бензин,Сектор ПП
20,"""СУАБ СБА"" ЕООД",1517,17.1.2011,"30,000",бензин,Сектор ПП
21,"""Бургас Плаза"" АД",1639,18.1.2011,"3 580,80",бензин,V-то РУ
22,"""Радине транс"" ЕООД",2189,21.1.2011,"67,700","копирна
машина,
мебели","РУП Поморие, уч. Каблешково"
23,"""Панджи 2000"" ООД",2376,24.1.2011,"30,000",бензин,Сектор ПП
24,"""Бургасбус"" ЕООД",2378,24.1.2011,"30,000",бензин,Сектор ПП
25,"""Трансвагон"" АД",2379,24.1.2011,"57,600",бензин,ІІ - РУ
26,"""Кохим"" ЕООД",2385,24.1.2011,"69,000",бензин,РУ Сунгурларе
27,"""Орел 2001"" ООД",2412,24.1.2011,"43,060",бензин,РУ Айтос
28,"""Пенелопа билдинг"" ЕООД",2414,24.1.2011,"96,000",бензин,РУ Айтос
29,"""Проагро"" ООД",2417,24.1.2011,"72,000",бензин,РУ Айтос
30,"""Уест петролиум"" ЕООД",2634,26.1.2011,"47,920",бензин,ІІ - РУ
31,"""Або гранити""",3178,31.1.2011,"44,160","строителни мат-
ли",ІV -РУ
32,"""Картекс"" ЕАД",3179,31.1.2011,"52,500","строителни мат-
ли",ІV -РУ
33,Г.А.К.,3236,31.1.2011,"43,110",бензин,РУ Созопол
34,М.З.З.,3237,31.1.2011,"1 434,00",бензин,РУ Созопол
35,"ЗКПУ ""Русокастро""",3602,02.2.2011,"71,800",бензин,РУ Камено
36,"ЕТ ""Стек""",3603,02.2.2011,"28,660",бензин,РУ Камено
37,"ЗКПУ ""Обединение""",3604,02.2.2011,"1 283,20",бензин,РУ Камено
38,"""Андела"" АД",3605,02.2.2011,"1 425,00",бензин,РУ Камено
39,"""КЗУ"" ООД",3606,02.2.2011,"1 440,00",бензин,РУ Камено
40,"""ПМУ"" АД",3607,02.2.2011,"1 415,60",бензин,РУ Камено
41,"ЕТ ""Прилеп""",3714,02.2.2011,"71,000",бензин,РУ Созопол
42,"Банка ""ДСК"" АД",3715,02.2.2011,"12,000",компютри,РУ Созопол
43,"""Сис комерс"" ЕООД",3931,03.2.2011,"69,000",бензин,РУ Карнобат
44,"""Авточасти Франц"" ЕООД",4973,11.2.2011,"36,180",бензин,ІІ - РУ



45,"""Кроношпан България"" ЕООД",5480,16.2.2011,"42,960",бензин,ІІ - РУ
46,"""СТ Пиргосплод"" АД",5482,16.2.2011,"73,032",бензин,ІІ - РУ
47,"""М Енд Б"" ООД",5770,18.2.2011,"46,870",бензин,ІІ - РУ
48,"""Куш груп"" ЕООД",7565,10.3.2011,"96,100",гориво,РУ Руен
49,"""Бургас петрол инженеринг"" ЕООД",7702,10.3.2011,"72,000",бензин,РУ Айтос
50,"""Мурад - 61"" ООД",7703,10.3.2011,"36,000",бензин,РУ Айтос
51,"""Роад стар"" ООД",7704,10.3.2011,"36,000",бензин,РУ Айтос
52,Община Камено,8007,14.3.2011,"75,000",бензин,РУ Камено
53,"""Бошнаков"" ЕООД",8008,14.3.2011,"16,716",ламинат,ІІ - РУ
54,Община Поморие,8966,22.3.2011,"9 316,73",бензин,РУ Поморие
55,Община Сунгурларе,2298,24.3.2011,"1 292,00",бензин,РУ Сунгурларе
56,Община Сунгурларе,2299,24.3.2011,"41,800",бензин,РУ Сунгурларе
57,Община Сунгурларе,2300,24.3.2011,"48,400",бензин,РУ Сунгурларе
58,"""М-Бус"" ООД",9911,29.3.2011,"35,304",бензин,ІІ РУ
59,"""Кроношпан България"" ЕООД",10002,30.3.2011,"60,400",ламинат,ІІ РУ
60,"ПЗЧК ""Напредък-93""",10003,30.3.2011,"14,400",бензин,ІІ РУ
61,"""Алмед"" ЕООД",10004,30.3.2011,"36,000",бензин,ІІ РУ
62,"""Победа"" АД",10393,01.4.2011,"36,050",бензин,ІІ РУ
63,"""Д.С.П."" ЕООД",10397,01.4.2011,"1 440,00",бензин,V-то РУ
64,Община Приморско,10399,01.4.2011,"5 546,43",бензин,РУ Приморско
65,"""Си-комерс"" ООД",10402,01.4.2011,"1 350,00",бензин,РУ Карнобат
66,"""Проагро"" ООД",10403,01.4.2011,"67,500",бензин,РУ Карнобат
67,"""Мелница Карнобат 2006"" ООД",10405,01.4.2011,"1 080,00",бензин,РУ Карнобат
